               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038206,            0.023592,           0.0081317,             0.83038,             0.74857,             0.78999,             0.41452,             0.03491,            0.017743,           0.0080877,            0.007816,            0.007816,            0.007816
                  37,            0.037326,            0.022893,           0.0081087,             0.83641,              0.8244,             0.84924,              0.4415,            0.033389,            0.015908,           0.0069901,           0.0077031,           0.0077031,           0.0077031
                  38,            0.036923,            0.022504,           0.0079129,             0.89712,             0.81614,             0.86781,             0.46374,             0.03281,            0.015722,           0.0066346,           0.0075886,           0.0075886,           0.0075886
                  39,            0.037529,            0.022811,            0.007821,             0.88292,             0.82403,             0.86631,             0.46053,            0.033244,            0.015937,           0.0068024,           0.0074725,           0.0074725,           0.0074725
                  40,            0.036758,            0.022462,           0.0076962,             0.85771,             0.79728,             0.84019,             0.44842,            0.032853,            0.015981,           0.0068216,            0.007355,            0.007355,            0.007355
                  41,            0.036269,            0.022303,           0.0077054,             0.86602,             0.83399,             0.87361,             0.47752,            0.032257,            0.015605,           0.0065874,           0.0072361,           0.0072361,           0.0072361
                  42,            0.036016,            0.022344,           0.0075445,             0.89174,             0.79699,             0.85534,             0.47055,            0.032227,            0.015596,           0.0068011,            0.007116,            0.007116,            0.007116
                  43,            0.035901,            0.022518,           0.0077202,             0.87647,             0.84038,             0.88264,             0.48368,            0.031862,            0.015248,           0.0063503,           0.0069948,           0.0069948,           0.0069948
                  44,            0.035382,            0.022253,           0.0073448,             0.88121,             0.83369,             0.88016,             0.49004,            0.031558,            0.015178,           0.0064978,           0.0068726,           0.0068726,           0.0068726
                  45,            0.035311,            0.021931,           0.0074701,             0.89899,              0.8383,             0.88467,              0.5066,            0.030755,            0.014859,            0.006249,           0.0067495,           0.0067495,           0.0067495
                  46,             0.03496,            0.021639,           0.0073163,             0.90229,             0.84548,             0.88516,             0.49748,            0.031198,            0.014817,           0.0062735,           0.0066257,           0.0066257,           0.0066257
                  47,            0.034624,            0.021722,           0.0070528,             0.87449,             0.80663,             0.85431,             0.47778,            0.032284,            0.016058,           0.0068898,           0.0065013,           0.0065013,           0.0065013
                  48,            0.034052,            0.021594,           0.0069869,             0.89997,             0.84263,             0.88719,             0.50188,            0.031023,            0.014924,           0.0063192,           0.0063764,           0.0063764,           0.0063764
                  49,            0.034243,            0.021185,           0.0069819,             0.91874,             0.85879,             0.90421,             0.53077,            0.030029,            0.014468,           0.0060609,           0.0062512,           0.0062512,           0.0062512
                  50,            0.034031,            0.021083,           0.0071332,             0.92931,              0.8575,              0.9047,             0.50792,            0.030512,            0.014458,           0.0059603,           0.0061256,           0.0061256,           0.0061256
                  51,            0.033462,            0.020927,           0.0069461,             0.92377,             0.86012,             0.90526,             0.52428,            0.030076,            0.014425,           0.0059902,               0.006,               0.006,               0.006
                  52,            0.033279,            0.020874,           0.0067567,             0.91723,             0.87206,             0.91624,             0.53806,            0.029254,            0.013899,           0.0058026,           0.0058744,           0.0058744,           0.0058744
                  53,            0.033008,            0.021028,           0.0068268,             0.91051,             0.87645,             0.91801,             0.54315,            0.029508,            0.014022,           0.0057974,           0.0057488,           0.0057488,           0.0057488
                  54,            0.033188,             0.02069,           0.0065169,             0.91123,             0.82267,             0.88449,             0.51294,            0.030564,            0.014873,           0.0061923,           0.0056236,           0.0056236,           0.0056236
                  55,            0.032875,            0.020507,           0.0067789,             0.91691,             0.87722,              0.9152,             0.53992,            0.029528,            0.014166,           0.0057779,           0.0054987,           0.0054987,           0.0054987
                  56,            0.033097,             0.02044,           0.0066809,             0.91872,              0.8609,              0.9085,             0.54042,            0.029302,            0.014103,           0.0058224,           0.0053743,           0.0053743,           0.0053743
                  57,            0.032167,            0.020266,           0.0065713,             0.92829,             0.87223,             0.92066,             0.55078,            0.029197,            0.013829,           0.0057107,           0.0052505,           0.0052505,           0.0052505
                  58,            0.032325,            0.020336,           0.0066298,             0.92386,              0.8908,             0.92448,             0.56071,            0.028779,            0.013737,           0.0055751,           0.0051274,           0.0051274,           0.0051274
                  59,            0.032083,            0.020263,           0.0064095,             0.93447,              0.8927,             0.93023,             0.55844,             0.02883,            0.013754,           0.0055539,           0.0050052,           0.0050052,           0.0050052
                  60,            0.031994,            0.020089,           0.0065216,             0.92222,             0.88523,             0.92558,             0.56757,            0.028254,            0.013514,           0.0054586,            0.004884,            0.004884,            0.004884
                  61,            0.031827,            0.019918,           0.0063721,             0.92386,             0.88861,             0.92743,             0.56377,            0.028436,             0.01355,           0.0055235,           0.0047639,           0.0047639,           0.0047639
                  62,            0.031413,            0.020059,           0.0062287,             0.93094,             0.89895,             0.93074,             0.57662,            0.028283,            0.013497,           0.0053745,            0.004645,            0.004645,            0.004645
                  63,            0.031658,            0.019981,           0.0063798,             0.92726,             0.88211,             0.92262,             0.56141,            0.028421,            0.013628,            0.005514,           0.0045275,           0.0045275,           0.0045275
                  64,            0.031293,            0.019823,           0.0063896,             0.93902,             0.88689,             0.92592,             0.56628,            0.028394,            0.013531,           0.0054695,           0.0044114,           0.0044114,           0.0044114
                  65,            0.030986,            0.019478,           0.0063708,             0.93822,             0.89088,             0.93568,             0.58929,            0.027483,              0.0132,           0.0053148,           0.0042969,           0.0042969,           0.0042969
