               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039745,             0.02398,           0.0092037,             0.85704,             0.69239,             0.71914,             0.35997,             0.03556,            0.016283,           0.0083762,            0.007816,            0.007816,            0.007816
                  37,            0.039513,            0.023817,           0.0087666,             0.89473,             0.66567,             0.70706,             0.35704,            0.035699,            0.016446,           0.0084514,           0.0077031,           0.0077031,           0.0077031
                  38,            0.038705,            0.023632,           0.0088371,             0.89366,             0.67289,             0.71336,              0.3535,            0.034956,            0.016271,           0.0081296,           0.0075886,           0.0075886,           0.0075886
                  39,            0.038779,            0.023434,           0.0088079,             0.87504,              0.6723,             0.69887,             0.35571,            0.035569,            0.016005,           0.0082213,           0.0074725,           0.0074725,           0.0074725
                  40,            0.038474,            0.023257,           0.0087362,             0.88528,             0.69994,             0.72906,             0.37313,            0.034564,            0.015728,           0.0079115,            0.007355,            0.007355,            0.007355
                  41,            0.038444,            0.023154,           0.0089728,             0.87762,             0.68914,             0.72296,             0.37907,            0.034286,            0.016107,           0.0081166,           0.0072361,           0.0072361,           0.0072361
                  42,            0.037707,            0.023257,             0.00867,             0.89564,             0.69665,             0.72546,             0.37705,            0.034086,            0.015694,           0.0081168,            0.007116,            0.007116,            0.007116
                  43,            0.037585,            0.022962,           0.0086488,             0.88877,             0.65616,             0.68967,             0.35795,            0.035298,            0.016821,           0.0084765,           0.0069948,           0.0069948,           0.0069948
                  44,            0.037249,            0.022704,           0.0083825,             0.88972,             0.67274,             0.70816,             0.36846,            0.034536,            0.016056,           0.0081717,           0.0068726,           0.0068726,           0.0068726
                  45,            0.036966,            0.022606,            0.008326,             0.91916,             0.71487,             0.75366,             0.39913,            0.032889,            0.014876,           0.0075708,           0.0067495,           0.0067495,           0.0067495
                  46,            0.036091,            0.022154,           0.0082131,             0.90787,             0.71263,             0.75038,             0.39781,            0.033033,            0.015096,           0.0075698,           0.0066257,           0.0066257,           0.0066257
                  47,            0.036257,            0.022542,           0.0082768,             0.41502,            0.033897,             0.03458,            0.017729,             0.12482,            0.065259,             0.77605,           0.0065013,           0.0065013,           0.0065013
                  48,            0.037083,            0.023615,           0.0085071,             0.80344,             0.39924,             0.48431,              0.2408,            0.049184,            0.024379,            0.021176,           0.0063764,           0.0063764,           0.0063764
                  49,            0.036138,            0.022746,           0.0082279,             0.82638,             0.56202,             0.61114,             0.32832,            0.037312,            0.019398,            0.010156,           0.0062512,           0.0062512,           0.0062512
                  50,            0.036263,            0.022411,           0.0081314,             0.86676,             0.60836,             0.66159,             0.34952,             0.03563,            0.017678,            0.009945,           0.0061256,           0.0061256,           0.0061256
                  51,            0.035416,            0.022052,           0.0080167,             0.90627,             0.69717,             0.74201,             0.39511,            0.032764,             0.01503,           0.0074937,               0.006,               0.006,               0.006
                  52,            0.035306,            0.021796,           0.0081479,             0.91729,             0.72608,             0.76534,             0.41617,            0.031928,            0.014501,           0.0072713,           0.0058744,           0.0058744,           0.0058744
                  53,            0.034933,            0.021747,           0.0077995,              0.9234,             0.74126,             0.77274,             0.42643,            0.031398,            0.014162,           0.0071384,           0.0057488,           0.0057488,           0.0057488
                  54,             0.03476,            0.021191,           0.0078736,             0.90855,              0.7119,             0.75398,             0.40156,            0.032811,            0.014855,           0.0073609,           0.0056236,           0.0056236,           0.0056236
                  55,            0.034688,            0.021489,           0.0079176,             0.91242,             0.74285,             0.77635,             0.43093,            0.031242,            0.014271,           0.0071958,           0.0054987,           0.0054987,           0.0054987
                  56,            0.033929,            0.021222,           0.0076693,             0.91739,              0.7437,             0.77629,             0.43731,            0.030795,              0.0141,            0.007059,           0.0053743,           0.0053743,           0.0053743
                  57,            0.034074,            0.021196,           0.0078277,             0.92391,             0.76051,             0.78833,             0.44587,             0.03061,             0.01385,           0.0070511,           0.0052505,           0.0052505,           0.0052505
                  58,            0.033819,            0.020967,           0.0079155,             0.93175,             0.74006,             0.78317,              0.4362,            0.030691,            0.013762,           0.0069754,           0.0051274,           0.0051274,           0.0051274
                  59,            0.033482,            0.020827,           0.0074891,             0.92785,             0.74155,             0.78511,             0.44933,             0.03039,            0.013621,           0.0069581,           0.0050052,           0.0050052,           0.0050052
                  60,            0.033486,            0.021135,           0.0075284,             0.92487,             0.75146,             0.78492,             0.44579,            0.030459,            0.013933,           0.0069803,            0.004884,            0.004884,            0.004884
                  61,            0.033613,            0.020466,           0.0074669,             0.93738,              0.7509,             0.78893,             0.44731,            0.030656,            0.013792,           0.0069117,           0.0047639,           0.0047639,           0.0047639
                  62,            0.033405,            0.021258,           0.0075618,             0.92547,             0.76591,             0.79606,             0.45298,            0.030405,             0.01386,           0.0068657,            0.004645,            0.004645,            0.004645
                  63,            0.032988,            0.020883,           0.0077171,             0.94116,             0.73667,             0.77828,             0.44666,            0.030302,            0.013796,           0.0070304,           0.0045275,           0.0045275,           0.0045275
                  64,            0.032533,            0.020556,           0.0072685,             0.93584,             0.75274,                0.79,              0.4594,            0.029948,            0.013431,           0.0067498,           0.0044114,           0.0044114,           0.0044114
                  65,            0.032695,            0.020308,           0.0074793,             0.94044,              0.7612,             0.79901,             0.46299,            0.029368,            0.013115,           0.0066918,           0.0042969,           0.0042969,           0.0042969
                  66,            0.032275,            0.020237,           0.0072072,             0.94368,             0.76641,             0.80235,             0.46638,             0.02941,            0.013132,           0.0066398,            0.004184,            0.004184,            0.004184
                  67,            0.032149,            0.019876,           0.0070768,             0.93607,             0.76899,             0.80107,             0.46665,            0.029545,            0.013085,           0.0066329,            0.004073,            0.004073,            0.004073
                  68,            0.032031,             0.01985,           0.0071114,               0.942,             0.74592,             0.78791,             0.46177,            0.029615,            0.013296,           0.0066975,           0.0039638,           0.0039638,           0.0039638
                  69,            0.032407,             0.02002,           0.0073877,             0.94187,             0.76191,             0.79678,             0.46104,            0.029396,             0.01312,           0.0065977,           0.0038567,           0.0038567,           0.0038567
                  70,              0.0319,            0.019963,           0.0073379,              0.9483,             0.75918,             0.79745,              0.4709,            0.029114,            0.013064,           0.0066432,           0.0037517,           0.0037517,           0.0037517
                  71,             0.03142,            0.019477,           0.0069535,             0.94093,             0.76737,             0.80327,             0.47314,            0.029017,            0.013065,           0.0065499,           0.0036489,           0.0036489,           0.0036489
                  72,            0.031352,            0.019693,           0.0070641,             0.93581,             0.76956,              0.8021,             0.47246,             0.02898,            0.013017,           0.0065171,           0.0035484,           0.0035484,           0.0035484
                  73,            0.031602,             0.01979,           0.0071747,             0.93179,             0.76618,             0.80181,             0.46717,            0.029492,            0.013227,           0.0065469,           0.0034503,           0.0034503,           0.0034503
                  74,            0.031527,            0.019581,           0.0070571,             0.94684,             0.77225,             0.80865,             0.48214,            0.028564,            0.012771,           0.0064308,           0.0033548,           0.0033548,           0.0033548
                  75,             0.03126,            0.019521,           0.0070797,             0.94754,              0.7806,             0.81599,             0.48975,            0.028339,             0.01261,           0.0063855,           0.0032618,           0.0032618,           0.0032618
                  76,            0.031217,            0.019626,           0.0070127,             0.93979,             0.78357,             0.81327,             0.48893,            0.028202,            0.012595,           0.0063771,           0.0031716,           0.0031716,           0.0031716
                  77,            0.031102,            0.019728,           0.0069031,             0.95077,             0.78414,             0.81551,             0.49302,             0.02791,            0.012481,            0.006321,           0.0030841,           0.0030841,           0.0030841
                  78,            0.031179,            0.019529,           0.0069576,             0.94899,             0.78745,             0.81799,             0.48981,            0.028297,            0.012714,           0.0063188,           0.0029996,           0.0029996,           0.0029996
                  79,            0.031041,            0.019262,           0.0071142,             0.93784,             0.77402,             0.80821,             0.48236,             0.02853,            0.012857,           0.0064607,           0.0029179,           0.0029179,           0.0029179
                  80,            0.030295,            0.019057,           0.0068148,              0.9446,             0.78578,             0.81732,             0.49502,            0.027924,            0.012516,           0.0063133,           0.0028394,           0.0028394,           0.0028394
                  81,            0.030605,            0.019539,           0.0069397,             0.94288,             0.78264,             0.81529,             0.48783,            0.028365,             0.01262,           0.0063694,           0.0027639,           0.0027639,           0.0027639
                  82,            0.030431,            0.019313,           0.0067114,              0.9537,             0.78708,             0.81866,             0.49707,            0.027827,            0.012339,           0.0062456,           0.0026917,           0.0026917,           0.0026917
                  83,            0.030277,            0.019167,           0.0067711,             0.94677,             0.78546,             0.81845,              0.4931,            0.028322,            0.012475,           0.0062785,           0.0026227,           0.0026227,           0.0026227
                  84,            0.030459,            0.019122,           0.0069525,              0.9512,              0.7861,             0.81784,             0.49376,            0.027855,            0.012417,           0.0062568,            0.002557,            0.002557,            0.002557
                  85,            0.030181,            0.018939,           0.0068207,             0.95053,             0.79525,             0.82204,             0.50335,            0.027522,            0.012265,           0.0061885,           0.0024948,           0.0024948,           0.0024948
                  86,            0.030306,            0.018858,             0.00692,             0.95187,             0.78662,             0.82155,             0.49927,            0.027649,             0.01223,            0.006222,            0.002436,            0.002436,            0.002436
