               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026318,             0.01548,            0.021436,             0.87405,             0.87984,             0.94403,             0.75188,             0.01308,           0.0049713,           0.0064903,           0.0074984,           0.0074984,           0.0074984
                  36,            0.025832,            0.015028,            0.019553,             0.86175,              0.8723,             0.93535,             0.73662,            0.012984,           0.0050192,           0.0065082,           0.0073681,           0.0073681,           0.0073681
                  37,            0.026774,            0.015166,            0.021003,             0.89017,             0.85621,             0.92765,             0.72248,            0.013573,           0.0052567,           0.0064997,           0.0072361,           0.0072361,           0.0072361
                  38,             0.02606,            0.015009,            0.019314,             0.91296,             0.91301,             0.96305,             0.76708,            0.012689,           0.0049657,           0.0042148,           0.0071025,           0.0071025,           0.0071025
                  39,            0.025975,            0.014754,            0.020133,                0.91,             0.89665,             0.95722,             0.75054,             0.01297,           0.0050224,           0.0053678,           0.0069677,           0.0069677,           0.0069677
                  40,            0.025361,            0.014877,            0.019844,             0.92437,             0.92097,             0.96786,             0.77794,            0.012279,           0.0049007,           0.0035022,           0.0068316,           0.0068316,           0.0068316
                  41,             0.02529,            0.014876,            0.019487,             0.91415,             0.92566,             0.96923,             0.77715,            0.012141,           0.0050132,           0.0037245,           0.0066946,           0.0066946,           0.0066946
                  42,            0.025284,            0.014616,            0.018484,             0.92705,             0.91806,             0.96505,             0.77452,            0.012303,           0.0048623,           0.0035764,           0.0065567,           0.0065567,           0.0065567
                  43,            0.025294,            0.014876,            0.019077,             0.92004,             0.91921,             0.96902,             0.77387,            0.012304,           0.0049702,           0.0039279,           0.0064181,           0.0064181,           0.0064181
                  44,            0.024772,            0.014599,            0.017909,             0.94029,             0.93129,             0.97386,             0.78894,            0.011963,           0.0046908,           0.0029893,            0.006279,            0.006279,            0.006279
                  45,            0.024707,            0.014363,            0.017409,             0.94539,             0.92749,             0.97476,             0.79189,            0.011915,           0.0046932,           0.0026352,           0.0061396,           0.0061396,           0.0061396
                  46,            0.025246,            0.014376,            0.019142,             0.92932,             0.88048,             0.96111,             0.76855,            0.012263,           0.0047827,           0.0047512,               0.006,               0.006,               0.006
                  47,            0.024684,            0.014475,            0.018016,             0.89552,             0.90557,             0.96246,             0.77767,            0.011845,           0.0046216,           0.0043812,           0.0058604,           0.0058604,           0.0058604
                  48,            0.024477,            0.014519,            0.019203,             0.90948,              0.9011,             0.96281,             0.77164,            0.012183,           0.0047715,           0.0039736,            0.005721,            0.005721,            0.005721
                  49,            0.024297,            0.014121,            0.016221,             0.94687,             0.94838,             0.98091,             0.80315,            0.011863,           0.0045301,           0.0021619,           0.0055819,           0.0055819,           0.0055819
                  50,            0.024152,            0.013994,            0.016522,             0.94734,             0.95491,             0.98104,             0.80722,            0.011182,           0.0044699,           0.0019695,           0.0054433,           0.0054433,           0.0054433
                  51,            0.023833,            0.014128,            0.015919,             0.94492,             0.94072,             0.97681,             0.80229,            0.011611,           0.0044779,           0.0024695,           0.0053054,           0.0053054,           0.0053054
                  52,            0.023677,             0.01416,            0.015563,             0.95961,             0.94177,              0.9809,             0.81049,            0.010958,           0.0044214,           0.0019819,           0.0051684,           0.0051684,           0.0051684
                  53,            0.023597,            0.014191,            0.016276,             0.93325,             0.93737,             0.97421,             0.79658,            0.011476,           0.0046694,           0.0028885,           0.0050323,           0.0050323,           0.0050323
                  54,            0.023454,            0.013951,             0.01617,             0.94576,             0.94762,              0.9799,             0.81311,            0.011149,            0.004419,           0.0023903,           0.0048975,           0.0048975,           0.0048975
                  55,            0.023326,            0.013518,            0.015188,             0.94387,             0.93942,             0.98007,             0.81135,            0.010892,           0.0043075,           0.0024008,           0.0047639,           0.0047639,           0.0047639
                  56,            0.022873,            0.013612,            0.015843,             0.95829,             0.95481,             0.98571,              0.8224,            0.010672,           0.0042564,            0.001769,           0.0046319,           0.0046319,           0.0046319
                  57,            0.023116,            0.013559,            0.014193,             0.95438,             0.95931,             0.98407,              0.8206,             0.01069,           0.0042022,           0.0017455,           0.0045016,           0.0045016,           0.0045016
                  58,            0.023009,            0.013506,            0.015567,             0.95436,             0.95612,             0.98456,              0.8183,            0.010983,           0.0042641,           0.0020683,           0.0043731,           0.0043731,           0.0043731
